6001,Alameda County
6003,Alpine County
6005,Amador County
6007,Butte County
6009,Calaveras County
6011,Colusa County
6013,Contra Costa County
6015,Del Norte County
6017,El Dorado County
6019,Fresno County
6021,Glenn County
6023,Humboldt County
6025,Imperial County
6027,Inyo County
6029,Kern County
6031,Kings County
6033,Lake County
6035,Lassen County
6037,Los Angeles County
6039,Madera County
6041,Marin County
6043,Mariposa County
6045,Mendocino County
6047,Merced County
6049,Modoc County
6051,Mono County
6053,Monterey County
6055,Napa County
6057,Nevada County
6059,Orange County
6061,Placer County
6063,Plumas County
6065,Riverside County
6067,Sacramento County
6069,San Benito County
6071,San Bernardino County
6073,San Diego County
6075,San Francisco County
6077,San Joaquin County
6079,San Luis Obispo County
6081,San Mateo County
6083,Santa Barbara County
6085,Santa Clara County
6087,Santa Cruz County
6089,Shasta County
6091,Sierra County
6093,Siskiyou County
6095,Solano County
6097,Sonoma County
6099,Stanislaus County
6101,Sutter County
6103,Tehama County
6105,Trinity County
6107,Tulare County
6109,Tuolumne County
6111,Ventura County
6113,Yolo County
6115,Yuba County
